2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphmet1l_opc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : extblock_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : nldd_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : pldd_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : next_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : pext_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : nexthv_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : pexthv_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : graphgate_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : sinwg_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : sinwg_filler has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : sinwg_nofill has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : mempad_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436428K) : topvia1_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436556K) : topmetal1_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436556K) : topmetal1_pin has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436684K) : topmetal1_mask has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436684K) : topmetal1_filler has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436812K) : topmetal1_nofill has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436812K) : topmetal1_slit has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436940K) : topmetal1_text has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (436940K) : topmetal1_noqrc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437068K) : topmetal1_res has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437068K) : topmetal1_iprobe has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437196K) : topmetal1_diffprb has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437196K) : inldpwl_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437324K) : polyres_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437324K) : polyres_pin has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437452K) : vmim_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437452K) : nbulaycut_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437580K) : antmetal1_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437580K) : topvia2_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437708K) : topmetal2_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437708K) : topmetal2_pin has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437836K) : topmetal2_mask has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437836K) : topmetal2_filler has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437964K) : topmetal2_nofill has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (437964K) : topmetal2_slit has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438092K) : topmetal2_text has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438092K) : topmetal2_noqrc has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438220K) : topmetal2_res has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438220K) : topmetal2_iprobe has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438348K) : topmetal2_diffprb has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438348K) : snsring_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438476K) : sensor_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438476K) : snsarms_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438604K) : snscmosvia_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438604K) : colwind_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438732K) : flm_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438732K) : hafniumox_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438860K) : memvia_drw has 0 polygons
2026-03-28 21:41:07 +0000: Memory Usage (438860K) : thinfilmres_drw has 0 polygons
